,width,module,t,l1
0,64,embed,0,0.7272818684577942
1,64,fin,0,0.6780891418457031
2,64,layers.0.query,0,0.4327954053878784
3,64,layers.0.key,0,0.4303738474845886
4,64,layers.0.value,0,0.4677950143814087
5,64,layers.0,0,0.3502348065376282
6,64,layers.1.layers.0,0,0.27553004026412964
7,64,layers.1.layers.1,0,0.1180647760629654
8,64,layers.1.layers,0,0.1180647760629654
9,64,layers.1,0,0.1180647760629654
10,64,layers.2.query,0,0.16198579967021942
11,64,layers.2.key,0,0.1721181422472
12,64,layers.2.value,0,0.18271516263484955
13,64,layers.2,0,0.18269477784633636
14,64,layers.3.layers.0,0,0.11641358584165573
15,64,layers.3.layers.1,0,0.057284269481897354
16,64,layers.3.layers,0,0.057284269481897354
17,64,layers.3,0,0.057284269481897354
18,64,layers.4.query,0,0.07342232763767242
19,64,layers.4.key,0,0.07996927201747894
20,64,layers.4.value,0,0.0706477090716362
21,64,layers.4,0,0.0706477016210556
22,64,layers.5.layers.0,0,0.040120698511600494
23,64,layers.5.layers.1,0,0.021523280069231987
24,64,layers.5.layers,0,0.021523280069231987
25,64,layers.5,0,0.021523280069231987
26,64,layers.6.query,0,0.03115457482635975
27,64,layers.6.key,0,0.037328388541936874
28,64,layers.6.value,0,0.03637685626745224
29,64,layers.6,0,0.03637685626745224
30,64,layers.7.layers.0,0,0.028473734855651855
31,64,layers.7.layers.1,0,0.014938388019800186
32,64,layers.7.layers,0,0.014938388019800186
33,64,layers.7,0,0.014938388019800186
34,64,unembed,0,0.0756898820400238
35,64,,0,0.0756898820400238
36,64,embed,1,0.7273366451263428
37,64,fin,1,0.6781435012817383
38,64,layers.0.query,1,0.43286624550819397
39,64,layers.0.key,1,0.43069514632225037
40,64,layers.0.value,1,0.4678535759449005
41,64,layers.0,1,0.35034242272377014
42,64,layers.1.layers.0,1,0.27548906207084656
43,64,layers.1.layers.1,1,0.11815065145492554
44,64,layers.1.layers,1,0.11815065145492554
45,64,layers.1,1,0.11815065145492554
46,64,layers.2.query,1,0.16194672882556915
47,64,layers.2.key,1,0.17224246263504028
48,64,layers.2.value,1,0.18290303647518158
49,64,layers.2,1,0.1828812062740326
50,64,layers.3.layers.0,1,0.1166289746761322
51,64,layers.3.layers.1,1,0.0574323832988739
52,64,layers.3.layers,1,0.0574323832988739
53,64,layers.3,1,0.0574323832988739
54,64,layers.4.query,1,0.07362927496433258
55,64,layers.4.key,1,0.08013221621513367
56,64,layers.4.value,1,0.07089598476886749
57,64,layers.4,1,0.07089598476886749
58,64,layers.5.layers.0,1,0.0402999110519886
59,64,layers.5.layers.1,1,0.021597057580947876
60,64,layers.5.layers,1,0.021597057580947876
61,64,layers.5,1,0.021597057580947876
62,64,layers.6.query,1,0.03127525746822357
63,64,layers.6.key,1,0.03743468225002289
64,64,layers.6.value,1,0.03649827465415001
65,64,layers.6,1,0.03649827465415001
66,64,layers.7.layers.0,1,0.028468847274780273
67,64,layers.7.layers.1,1,0.014926087111234665
68,64,layers.7.layers,1,0.014926087111234665
69,64,layers.7,1,0.014926087111234665
70,64,unembed,1,0.08583252876996994
71,64,,1,0.08583252876996994
72,64,embed,2,0.7275316715240479
73,64,fin,2,0.6784654259681702
74,64,layers.0.query,2,0.4330909252166748
75,64,layers.0.key,2,0.4310294985771179
76,64,layers.0.value,2,0.46827346086502075
77,64,layers.0,2,0.3508227467536926
78,64,layers.1.layers.0,2,0.275857150554657
79,64,layers.1.layers.1,2,0.11841225624084473
80,64,layers.1.layers,2,0.11841225624084473
81,64,layers.1,2,0.11841225624084473
82,64,layers.2.query,2,0.16221682727336884
83,64,layers.2.key,2,0.1726122498512268
84,64,layers.2.value,2,0.1833639144897461
85,64,layers.2,2,0.1833418607711792
86,64,layers.3.layers.0,2,0.11708179116249084
87,64,layers.3.layers.1,2,0.057724691927433014
88,64,layers.3.layers,2,0.057724691927433014
89,64,layers.3,2,0.057724691927433014
90,64,layers.4.query,2,0.07400339096784592
91,64,layers.4.key,2,0.08049963414669037
92,64,layers.4.value,2,0.07126204669475555
93,64,layers.4,2,0.07126204669475555
94,64,layers.5.layers.0,2,0.040537670254707336
95,64,layers.5.layers.1,2,0.021721895784139633
96,64,layers.5.layers,2,0.021721895784139633
97,64,layers.5,2,0.021721895784139633
98,64,layers.6.query,2,0.0314292311668396
99,64,layers.6.key,2,0.037613049149513245
100,64,layers.6.value,2,0.03668316826224327
101,64,layers.6,2,0.03668316826224327
102,64,layers.7.layers.0,2,0.028586899861693382
103,64,layers.7.layers.1,2,0.014989527873694897
104,64,layers.7.layers,2,0.014989527873694897
105,64,layers.7,2,0.014989527873694897
106,64,unembed,2,0.11723963171243668
107,64,,2,0.11723963171243668
108,128,embed,0,0.727754533290863
109,128,fin,0,0.7506648302078247
110,128,layers.0.query,0,0.5333868265151978
111,128,layers.0.key,0,0.5167081356048584
112,128,layers.0.value,0,0.5150346755981445
113,128,layers.0,0,0.3912566304206848
114,128,layers.1.layers.0,0,0.26859140396118164
115,128,layers.1.layers.1,0,0.13378864526748657
116,128,layers.1.layers,0,0.13378864526748657
117,128,layers.1,0,0.13378864526748657
118,128,layers.2.query,0,0.1824055314064026
119,128,layers.2.key,0,0.17925500869750977
120,128,layers.2.value,0,0.21248695254325867
121,128,layers.2,0,0.21247011423110962
122,128,layers.3.layers.0,0,0.1772564798593521
123,128,layers.3.layers.1,0,0.1044297143816948
124,128,layers.3.layers,0,0.1044297143816948
125,128,layers.3,0,0.1044297143816948
126,128,layers.4.query,0,0.15022559463977814
127,128,layers.4.key,0,0.13735772669315338
128,128,layers.4.value,0,0.1416628062725067
129,128,layers.4,0,0.1416628062725067
130,128,layers.5.layers.0,0,0.08744020015001297
131,128,layers.5.layers.1,0,0.04432575777173042
132,128,layers.5.layers,0,0.04432575777173042
133,128,layers.5,0,0.04432575777173042
134,128,layers.6.query,0,0.061907678842544556
135,128,layers.6.key,0,0.06360144913196564
136,128,layers.6.value,0,0.07087422907352448
137,128,layers.6,0,0.07087422907352448
138,128,layers.7.layers.0,0,0.04829900711774826
139,128,layers.7.layers.1,0,0.020478252321481705
140,128,layers.7.layers,0,0.020478252321481705
141,128,layers.7,0,0.020478252321481705
142,128,unembed,0,0.0788220465183258
143,128,,0,0.0788220465183258
144,128,embed,1,0.727881908416748
145,128,fin,1,0.7508535385131836
146,128,layers.0.query,1,0.5336728096008301
147,128,layers.0.key,1,0.5169322490692139
148,128,layers.0.value,1,0.5154021978378296
149,128,layers.0,1,0.3916667103767395
150,128,layers.1.layers.0,1,0.268949419260025
151,128,layers.1.layers.1,1,0.13399681448936462
152,128,layers.1.layers,1,0.13399681448936462
153,128,layers.1,1,0.13399681448936462
154,128,layers.2.query,1,0.1827932745218277
155,128,layers.2.key,1,0.17966674268245697
156,128,layers.2.value,1,0.21302826702594757
157,128,layers.2,1,0.21301262080669403
158,128,layers.3.layers.0,1,0.1777331680059433
159,128,layers.3.layers.1,1,0.1047932580113411
160,128,layers.3.layers,1,0.1047932580113411
161,128,layers.3,1,0.1047932580113411
162,128,layers.4.query,1,0.15063175559043884
163,128,layers.4.key,1,0.13777729868888855
164,128,layers.4.value,1,0.14210662245750427
165,128,layers.4,1,0.14210662245750427
166,128,layers.5.layers.0,1,0.08775634318590164
167,128,layers.5.layers.1,1,0.04445972666144371
168,128,layers.5.layers,1,0.04445972666144371
169,128,layers.5,1,0.04445972666144371
170,128,layers.6.query,1,0.06216651201248169
171,128,layers.6.key,1,0.06388276815414429
172,128,layers.6.value,1,0.07115903496742249
173,128,layers.6,1,0.07115903496742249
174,128,layers.7.layers.0,1,0.048561859875917435
175,128,layers.7.layers.1,1,0.020615268498659134
176,128,layers.7.layers,1,0.020615268498659134
177,128,layers.7,1,0.020615268498659134
178,128,unembed,1,0.10132652521133423
179,128,,1,0.10132652521133423
180,128,embed,2,0.7280451059341431
181,128,fin,2,0.7511463165283203
182,128,layers.0.query,2,0.5340449810028076
183,128,layers.0.key,2,0.517238974571228
184,128,layers.0.value,2,0.5158535242080688
185,128,layers.0,2,0.3921475410461426
186,128,layers.1.layers.0,2,0.26950013637542725
187,128,layers.1.layers.1,2,0.13430650532245636
188,128,layers.1.layers,2,0.13430650532245636
189,128,layers.1,2,0.13430650532245636
190,128,layers.2.query,2,0.18335303664207458
191,128,layers.2.key,2,0.1802431046962738
192,128,layers.2.value,2,0.2138708084821701
193,128,layers.2,2,0.2138565331697464
194,128,layers.3.layers.0,2,0.1785207986831665
195,128,layers.3.layers.1,2,0.10533788055181503
196,128,layers.3.layers,2,0.10533788055181503
197,128,layers.3,2,0.10533788055181503
198,128,layers.4.query,2,0.15129819512367249
199,128,layers.4.key,2,0.13840210437774658
200,128,layers.4.value,2,0.14282885193824768
201,128,layers.4,2,0.14282885193824768
202,128,layers.5.layers.0,2,0.08832363784313202
203,128,layers.5.layers.1,2,0.044751863926649094
204,128,layers.5.layers,2,0.044751863926649094
205,128,layers.5,2,0.044751863926649094
206,128,layers.6.query,2,0.06265054643154144
207,128,layers.6.key,2,0.06433579325675964
208,128,layers.6.value,2,0.07178197801113129
209,128,layers.6,2,0.07178197801113129
210,128,layers.7.layers.0,2,0.04909493774175644
211,128,layers.7.layers.1,2,0.020888853818178177
212,128,layers.7.layers,2,0.020888853818178177
213,128,layers.7,2,0.020888853818178177
214,128,unembed,2,0.16235575079917908
215,128,,2,0.16235575079917908
216,256,embed,0,0.7282239198684692
217,256,fin,0,0.7239596843719482
218,256,layers.0.query,0,0.5370578765869141
219,256,layers.0.key,0,0.5192241668701172
220,256,layers.0.value,0,0.5336829423904419
221,256,layers.0,0,0.4153287708759308
222,256,layers.1.layers.0,0,0.2997376322746277
223,256,layers.1.layers.1,0,0.12524883449077606
224,256,layers.1.layers,0,0.12524883449077606
225,256,layers.1,0,0.12524883449077606
226,256,layers.2.query,0,0.18791386485099792
227,256,layers.2.key,0,0.1822952926158905
228,256,layers.2.value,0,0.18538898229599
229,256,layers.2,0,0.18534299731254578
230,256,layers.3.layers.0,0,0.11970961093902588
231,256,layers.3.layers.1,0,0.06859391182661057
232,256,layers.3.layers,0,0.06859391182661057
233,256,layers.3,0,0.06859391182661057
234,256,layers.4.query,0,0.09112495183944702
235,256,layers.4.key,0,0.09907916188240051
236,256,layers.4.value,0,0.09289117157459259
237,256,layers.4,0,0.09289117157459259
238,256,layers.5.layers.0,0,0.06353060901165009
239,256,layers.5.layers.1,0,0.032691165804862976
240,256,layers.5.layers,0,0.032691165804862976
241,256,layers.5,0,0.032691165804862976
242,256,layers.6.query,0,0.04503802955150604
243,256,layers.6.key,0,0.045265763998031616
244,256,layers.6.value,0,0.04650436341762543
245,256,layers.6,0,0.04650436341762543
246,256,layers.7.layers.0,0,0.02896801009774208
247,256,layers.7.layers.1,0,0.014339189045131207
248,256,layers.7.layers,0,0.014339189045131207
249,256,layers.7,0,0.014339189045131207
250,256,unembed,0,0.07529202103614807
251,256,,0,0.07529202103614807
252,256,embed,1,0.7280538082122803
253,256,fin,1,0.7237080335617065
254,256,layers.0.query,1,0.5368447303771973
255,256,layers.0.key,1,0.5188335180282593
256,256,layers.0.value,1,0.5332420468330383
257,256,layers.0,1,0.41457289457321167
258,256,layers.1.layers.0,1,0.29907870292663574
259,256,layers.1.layers.1,1,0.12477727234363556
260,256,layers.1.layers,1,0.12477727234363556
261,256,layers.1,1,0.12477727234363556
262,256,layers.2.query,1,0.18757766485214233
263,256,layers.2.key,1,0.18194244801998138
264,256,layers.2.value,1,0.18457962572574615
265,256,layers.2,1,0.18453359603881836
266,256,layers.3.layers.0,1,0.11914780735969543
267,256,layers.3.layers.1,1,0.06827858835458755
268,256,layers.3.layers,1,0.06827858835458755
269,256,layers.3,1,0.06827858835458755
270,256,layers.4.query,1,0.09070632606744766
271,256,layers.4.key,1,0.09845945239067078
272,256,layers.4.value,1,0.09233386069536209
273,256,layers.4,1,0.0923338532447815
274,256,layers.5.layers.0,1,0.06290039420127869
275,256,layers.5.layers.1,1,0.03234487026929855
276,256,layers.5.layers,1,0.03234487026929855
277,256,layers.5,1,0.03234487026929855
278,256,layers.6.query,1,0.044527456164360046
279,256,layers.6.key,1,0.0447283610701561
280,256,layers.6.value,1,0.04599720612168312
281,256,layers.6,1,0.04599720984697342
282,256,layers.7.layers.0,1,0.028652915731072426
283,256,layers.7.layers.1,1,0.014161979779601097
284,256,layers.7.layers,1,0.014161979779601097
285,256,layers.7,1,0.014161979779601097
286,256,unembed,1,0.08678160607814789
287,256,,1,0.08678160607814789
288,256,embed,2,0.7282271385192871
289,256,fin,2,0.7238969802856445
290,256,layers.0.query,2,0.5370358824729919
291,256,layers.0.key,2,0.5189999341964722
292,256,layers.0.value,2,0.5334905385971069
293,256,layers.0,2,0.4149560034275055
294,256,layers.1.layers.0,2,0.29968658089637756
295,256,layers.1.layers.1,2,0.12507766485214233
296,256,layers.1.layers,2,0.12507766485214233
297,256,layers.1,2,0.12507766485214233
298,256,layers.2.query,2,0.18818160891532898
299,256,layers.2.key,2,0.18257789313793182
300,256,layers.2.value,2,0.1852484792470932
301,256,layers.2,2,0.18520161509513855
302,256,layers.3.layers.0,2,0.11986860632896423
303,256,layers.3.layers.1,2,0.06876963376998901
304,256,layers.3.layers,2,0.06876963376998901
305,256,layers.3,2,0.06876963376998901
306,256,layers.4.query,2,0.09133341908454895
307,256,layers.4.key,2,0.09902654588222504
308,256,layers.4.value,2,0.0930500328540802
309,256,layers.4,2,0.0930500328540802
310,256,layers.5.layers.0,2,0.06340071558952332
311,256,layers.5.layers.1,2,0.032611094415187836
312,256,layers.5.layers,2,0.032611094415187836
313,256,layers.5,2,0.032611094415187836
314,256,layers.6.query,2,0.04484323412179947
315,256,layers.6.key,2,0.04502750188112259
316,256,layers.6.value,2,0.046418339014053345
317,256,layers.6,2,0.046418339014053345
318,256,layers.7.layers.0,2,0.029034364968538284
319,256,layers.7.layers.1,2,0.014372268691658974
320,256,layers.7.layers,2,0.014372268691658974
321,256,layers.7,2,0.014372268691658974
322,256,unembed,2,0.11882966011762619
323,256,,2,0.11882966011762619
324,512,embed,0,0.7284826636314392
325,512,fin,0,0.7133309841156006
326,512,layers.0.query,0,0.53066086769104
327,512,layers.0.key,0,0.52619868516922
328,512,layers.0.value,0,0.5132652521133423
329,512,layers.0,0,0.3931494355201721
330,512,layers.1.layers.0,0,0.2705365717411041
331,512,layers.1.layers.1,0,0.12402969598770142
332,512,layers.1.layers,0,0.12402969598770142
333,512,layers.1,0,0.12402969598770142
334,512,layers.2.query,0,0.18063831329345703
335,512,layers.2.key,0,0.18278303742408752
336,512,layers.2.value,0,0.17259091138839722
337,512,layers.2,0,0.17250806093215942
338,512,layers.3.layers.0,0,0.11586502194404602
339,512,layers.3.layers.1,0,0.06215950846672058
340,512,layers.3.layers,0,0.06215950846672058
341,512,layers.3,0,0.06215950846672058
342,512,layers.4.query,0,0.08135950565338135
343,512,layers.4.key,0,0.08749096840620041
344,512,layers.4.value,0,0.08659628033638
345,512,layers.4,0,0.08659627288579941
346,512,layers.5.layers.0,0,0.06380758434534073
347,512,layers.5.layers.1,0,0.03058674745261669
348,512,layers.5.layers,0,0.03058674745261669
349,512,layers.5,0,0.03058674745261669
350,512,layers.6.query,0,0.04349967837333679
351,512,layers.6.key,0,0.044522956013679504
352,512,layers.6.value,0,0.043623149394989014
353,512,layers.6,0,0.043623149394989014
354,512,layers.7.layers.0,0,0.030590301379561424
355,512,layers.7.layers.1,0,0.014972325414419174
356,512,layers.7.layers,0,0.014972325414419174
357,512,layers.7,0,0.014972325414419174
358,512,unembed,0,0.07560688257217407
359,512,,0,0.07560688257217407
360,512,embed,1,0.728519082069397
361,512,fin,1,0.7132931351661682
362,512,layers.0.query,1,0.5306574702262878
363,512,layers.0.key,1,0.5261902809143066
364,512,layers.0.value,1,0.5130631923675537
365,512,layers.0,1,0.39234358072280884
366,512,layers.1.layers.0,1,0.27012115716934204
367,512,layers.1.layers.1,1,0.12392549216747284
368,512,layers.1.layers,1,0.12392549216747284
369,512,layers.1,1,0.12392549216747284
370,512,layers.2.query,1,0.18064481019973755
371,512,layers.2.key,1,0.1825937032699585
372,512,layers.2.value,1,0.17263226211071014
373,512,layers.2,1,0.17254513502120972
374,512,layers.3.layers.0,1,0.11581361293792725
375,512,layers.3.layers.1,1,0.062211520969867706
376,512,layers.3.layers,1,0.062211520969867706
377,512,layers.3,1,0.062211520969867706
378,512,layers.4.query,1,0.08145128190517426
379,512,layers.4.key,1,0.08756310492753983
380,512,layers.4.value,1,0.08645953238010406
381,512,layers.4,1,0.08645953238010406
382,512,layers.5.layers.0,1,0.06384257227182388
383,512,layers.5.layers.1,1,0.030581295490264893
384,512,layers.5.layers,1,0.030581295490264893
385,512,layers.5,1,0.030581295490264893
386,512,layers.6.query,1,0.04344082251191139
387,512,layers.6.key,1,0.0445651076734066
388,512,layers.6.value,1,0.04334978759288788
389,512,layers.6,1,0.04334978759288788
390,512,layers.7.layers.0,1,0.030460186302661896
391,512,layers.7.layers.1,1,0.01481061801314354
392,512,layers.7.layers,1,0.01481061801314354
393,512,layers.7,1,0.01481061801314354
394,512,unembed,1,0.08901835232973099
395,512,,1,0.08901835232973099
396,512,embed,2,0.7286838889122009
397,512,fin,2,0.7136162519454956
398,512,layers.0.query,2,0.5309889912605286
399,512,layers.0.key,2,0.5265605449676514
400,512,layers.0.value,2,0.5134472846984863
401,512,layers.0,2,0.3932141363620758
402,512,layers.1.layers.0,2,0.2714649438858032
403,512,layers.1.layers.1,2,0.12480694055557251
404,512,layers.1.layers,2,0.12480694055557251
405,512,layers.1,2,0.12480694055557251
406,512,layers.2.query,2,0.18195432424545288
407,512,layers.2.key,2,0.18372665345668793
408,512,layers.2.value,2,0.17417433857917786
409,512,layers.2,2,0.17407962679862976
410,512,layers.3.layers.0,2,0.1172732412815094
411,512,layers.3.layers.1,2,0.06315675377845764
412,512,layers.3.layers,2,0.06315675377845764
413,512,layers.3,2,0.06315675377845764
414,512,layers.4.query,2,0.08268160372972488
415,512,layers.4.key,2,0.08891497552394867
416,512,layers.4.value,2,0.08779347687959671
417,512,layers.4,2,0.08779347687959671
418,512,layers.5.layers.0,2,0.06533794105052948
419,512,layers.5.layers.1,2,0.031422507017850876
420,512,layers.5.layers,2,0.031422507017850876
421,512,layers.5,2,0.031422507017850876
422,512,layers.6.query,2,0.044560108333826065
423,512,layers.6.key,2,0.04582204669713974
424,512,layers.6.value,2,0.044413670897483826
425,512,layers.6,2,0.044413670897483826
426,512,layers.7.layers.0,2,0.0314585380256176
427,512,layers.7.layers.1,2,0.015304885804653168
428,512,layers.7.layers,2,0.015304885804653168
429,512,layers.7,2,0.015304885804653168
430,512,unembed,2,0.12594270706176758
431,512,,2,0.12594270706176758
432,1024,embed,0,0.7288992404937744
433,1024,fin,0,0.7335197329521179
434,1024,layers.0.query,0,0.5200119614601135
435,1024,layers.0.key,0,0.5223601460456848
436,1024,layers.0.value,0,0.5259908437728882
437,1024,layers.0,0,0.4069240689277649
